Customer_ID,Customer_Name,Age,Gender,Annual_Income,Country,Purchase_Frequency,Loyalty_Status,Total_Spend,Customer_Satisfaction_Score
118,Alice,27,Female,123577.91945438918,Japan,36,Bronze,53367.07049399573,3.012769338152192
119,David,55,Female,78588.9541020056,USA,65,Bronze,18648.382070308064,1.2529894978518157
120,Eve,58,Male,54348.11392079876,India,84,Silver,53167.541741553556,8.799894499387808
121,Alice,55,Female,69575.9985237169,USA,48,Gold,48247.395162458604,9.708508952570755
122,Charlie,31,Male,131299.9160618573,USA,37,Gold,46813.00366271613,9.033934043661782
123,Alice,50,Non-Binary,62231.39486572866,UK,38,Gold,19326.592860312947,1.664936405773657
124,David,78,Female,104408.09772455195,Germany,56,Gold,86296.40778976041,8.761727334464185
125,Eve,40,Non-Binary,62916.4144434135,India,62,Silver,35651.04631291787,3.675753865234622
126,Bob,40,Male,127190.4200297837,UK,68,Bronze,31827.558739071697,3.781038222849544
127,Charlie,25,Non-Binary,122817.40731347828,Australia,50,Bronze,20764.171995745328,8.383053321697432
128,Charlie,37,Non-Binary,48629.055318728846,India,77,Silver,53756.08119152083,7.789019889998808
129,David,37,Non-Binary,32465.51916617956,Germany,75,Gold,58327.25862964295,4.598284776029681
130,Eve,53,Female,99950.36896799988,Australia,46,Gold,23295.7718982538,7.704692605069747
131,Charlie,24,Male,87973.09463659611,Australia,88,Gold,47400.760125834095,5.257195097492408
132,Eve,47,Male,34693.07335186568,Germany,89,Silver,36264.536320414205,8.775577873361888
133,Alice,56,Non-Binary,55543.27815151997,Germany,63,Silver,30904.957271299,3.2501507897725284
134,Alice,46,Female,98313.50924786257,Japan,47,Gold,,6.568778304501059
135,Charlie,31,Male,43263.313084063695,India,53,Bronze,,2.6326593242935865
136,Charlie,31,Non-Binary,63355.60646346166,Australia,13,Bronze,,6.534930722855444
137,David,77,Male,149937.56265862292,USA,47,Bronze,2181.0132481845408,2.9649333546302135
138,Alice,47,Non-Binary,113197.62643616468,USA,99,Gold,10699.968526764218,8.535648460439678
139,Bob,47,Male,80748.35448487214,UK,62,Gold,16975.149063153072,9.655552207183794
140,Charlie,61,Non-Binary,74194.81447801649,India,38,Gold,60371.243710478484,3.7068778195664067
141,Bob,48,Female,32847.14577436519,Germany,72,Bronze,18701.534713389166,6.167774626115768
142,Charlie,47,Male,115746.4088730023,UK,83,Silver,39044.68573267983,5.0790296610258245
143,Charlie,49,Male,82444.54694652176,UK,67,Bronze,26790.828737108994,8.569889229650142
144,Alice,28,Female,96783.59883834106,Germany,48,Silver,,4.505475806496129
145,David,24,Non-Binary,105598.2354743457,Japan,7,Gold,5069.09004224162,4.879146483387348
146,Alice,66,Non-Binary,53743.77039712651,Germany,3,Bronze,1526.328265072357,9.807281106005195
147,Bob,19,Non-Binary,83144.3681456424,India,96,Silver,20604.8764743531,3.543000363787363
148,Bob,67,Male,36923.69936606705,India,38,Silver,59729.57843685623,1.9623672245341346
149,Alice,42,Female,,USA,89,Gold,45686.435072953114,5.699447035839794
150,Eve,63,Non-Binary,101520.65862575962,Germany,19,Bronze,31863.41062364052,6.4387775977835275
151,Charlie,37,Female,60870.0710677169,Germany,5,Gold,47966.55427275472,5.139429050705129
152,Eve,67,Female,49124.61445346434,Germany,83,Gold,47786.8619535962,5.7040805433602895
153,Bob,24,Female,80980.73400753087,Japan,67,Silver,86209.4250857507,4.989893573103252
154,David,50,Female,119467.78713829487,USA,57,Silver,6227.53758501857,7.328184325489795
155,David,32,Non-Binary,76554.42696117586,India,52,Gold,31206.6534025817,1.1943422843482308
156,Eve,23,Non-Binary,107547.00223333853,Australia,95,Gold,68542.20431764587,7.909163961865794
157,David,38,Non-Binary,140059.8016379326,Japan,8,Silver,,8.455995497564686
158,Charlie,24,Non-Binary,50897.5924140279,India,48,Silver,67504.48916121006,9.497014693042795
159,Alice,32,Non-Binary,126395.96339667986,India,12,Gold,72636.38751594767,3.258622253956513
160,Bob,73,Non-Binary,123080.16296025176,Australia,89,Bronze,97332.34327698332,5.278190004429067
161,David,56,Non-Binary,105361.13777246365,Australia,78,Silver,10649.256429760782,7.712097671293188
162,David,23,Non-Binary,,Australia,12,Bronze,44920.95204735191,9.983962212947162
163,Alice,44,Non-Binary,104389.08249642877,Germany,99,Gold,,2.7526327284418564
164,Bob,53,Male,59340.87611742908,Australia,14,Gold,56654.50394442907,9.445013991842028
165,David,18,Male,116560.14618039725,Germany,45,Silver,72289.85240936135,3.8833096874161126
166,David,18,Male,116127.25834596484,UK,55,Gold,29511.648127839275,2.158804424978846
167,Bob,66,Female,24732.952596948395,Australia,48,Bronze,78595.11629424976,3.844957597213679
168,Charlie,49,Male,148466.77686818386,Germany,27,Bronze,74949.56174441645,2.9033962492331664
169,Eve,71,Non-Binary,74274.37550075754,UK,40,Bronze,3213.236231446924,1.771777617466031
170,Charlie,32,Male,24968.94777154995,Germany,6,Silver,66678.10890229547,3.404099828987184
171,Charlie,57,Non-Binary,130684.72216984477,Australia,35,Bronze,82442.73402641367,1.8762354047592011
172,Alice,26,Female,126420.6471870308,Japan,56,Silver,99817.50744668425,4.490592721056632
173,Alice,62,Non-Binary,133520.54894257837,UK,20,Gold,44713.993662757784,8.50229238740974
174,Bob,23,Male,84267.84766089835,USA,10,Bronze,82652.15617767563,1.5408566522615028
175,Charlie,72,Non-Binary,95104.516572387,USA,98,Silver,59906.86311851041,4.32005034480722
176,Eve,59,Non-Binary,135996.74929905398,USA,76,Bronze,92402.59898964174,7.605743254449097
177,Eve,35,Male,135606.342475335,Germany,2,Silver,61693.75965715653,1.3182310956233365
178,Charlie,38,Female,131699.0329654761,Australia,5,Bronze,88801.5022610428,1.1143752596490002
179,Charlie,50,Non-Binary,131515.8743815124,Australia,11,Gold,82909.37594907019,8.628054061358442
180,David,52,Male,97699.0166617097,USA,65,Bronze,45111.6950783908,5.536406583134575
181,David,69,Non-Binary,49801.99552243197,Japan,67,Gold,33450.41099665962,9.577654212579414
182,Alice,38,Male,85257.36374603205,Australia,53,Bronze,69317.9525198304,1.6040951070349267
183,Charlie,58,Female,143145.10331618116,Japan,43,Gold,31620.20289656062,8.338770419354233
184,Bob,24,Female,85213.29017945926,Japan,23,Silver,14745.331860680513,6.267848553047795
185,Eve,78,Female,,UK,17,Silver,65988.6466876073,2.903641892679806
186,Charlie,37,Female,70047.62074433808,Germany,38,Bronze,46863.883603649265,3.8136904260348743
187,Bob,71,Non-Binary,113913.91048323682,Germany,40,Gold,56762.15012938019,1.4019573751122731
188,Alice,29,Female,40396.42128958015,UK,81,Gold,69868.80673247353,2.124564823175345
189,Alice,56,Male,128906.14215429881,Germany,76,Bronze,28719.36331779027,4.599124124940594
190,Eve,59,Male,92267.10825810752,Japan,62,Gold,87021.00034800601,6.122641424057265
191,Alice,76,Female,37469.120365751456,India,4,Silver,28909.43321593698,8.184319593728437
192,Eve,40,Male,116344.65593890911,India,90,Bronze,82271.94291880638,7.595801547343104
193,David,78,Male,107146.55025315314,India,2,Silver,60605.261945438084,8.858803394011098
194,Bob,39,Female,52605.76334105688,UK,35,Silver,80926.31622257721,2.6339918620874645
195,David,60,Female,117830.4536019976,USA,35,Bronze,92382.84079629925,4.779115701087313
196,Alice,74,Male,65891.23819924408,Germany,89,Gold,56684.96825841405,1.299528782846605
197,Alice,46,Female,116508.7762886628,Japan,67,Silver,43169.80344898128,9.179869958774539
198,Eve,54,Non-Binary,20898.763101157194,India,58,Gold,44216.990086003774,7.934729604072409
199,Bob,33,Male,,Germany,85,Silver,63540.136685493846,2.248265229773512
200,David,28,Non-Binary,69791.91069149689,UK,98,Bronze,81067.5231913774,7.569413830746566
201,David,74,Male,68707.22519185595,USA,30,Silver,44741.77094076408,5.261252849981128
202,Bob,59,Female,22425.80445347511,Australia,7,Bronze,86760.40863048323,3.364314196913827
203,David,33,Female,68423.48712228631,Japan,84,Bronze,31618.006010174613,7.207505051599558
204,Alice,70,Female,69443.16869663067,USA,97,Bronze,75714.64573027831,5.119127877179212
205,Eve,78,Male,104486.46233930554,USA,62,Gold,82650.83119533949,7.864863223766686
206,Charlie,76,Male,94953.60818754288,USA,21,Silver,81973.5131124333,5.6965993896910545
207,Alice,60,Male,45579.35762826691,Germany,5,Bronze,68306.16408475453,6.006307163800244
208,Bob,61,Male,55891.614145582425,India,32,Gold,87131.44006951978,1.4746549305826813
209,Eve,32,Non-Binary,57507.5371963402,Germany,2,Bronze,37356.31762596048,3.5318224667885314
210,Charlie,40,Non-Binary,32875.68168020509,Australia,96,Gold,21867.166619336727,9.383905521260221
211,Charlie,21,Female,122830.23375754265,India,82,Silver,25585.433994560302,8.96123089426923
212,David,20,Male,147812.04811982356,Australia,55,Bronze,68387.18002333262,5.433560069186119
213,Alice,33,Male,120294.9835815435,Australia,51,Silver,13715.982069511174,1.5453201969314394
214,David,47,Female,26716.0729735109,UK,11,Bronze,91232.32946641691,9.606788893269893
215,David,52,Non-Binary,33792.78116051726,Germany,11,Bronze,,3.7221690666445078
216,Charlie,79,Female,31434.384393421748,Germany,70,Gold,69209.54683609126,1.5071288245195031
217,Alice,60,Female,131897.38516146922,USA,69,Silver,91808.54869993443,4.530508132315413
218,David,51,Female,129717.57203733348,Germany,13,Silver,,6.189247374187434
219,David,23,Male,,Australia,46,Gold,77183.79150293193,3.058426178146595
220,Bob,55,Non-Binary,62830.02656677374,Japan,90,Gold,81913.90608010709,3.370626207542041
221,David,42,Male,45978.7962328638,Germany,12,Bronze,86603.81096156829,1.6329950385953222
222,Bob,24,Male,25305.03930327187,Australia,4,Gold,38468.48760145013,5.217084836350177
223,Charlie,58,Female,63567.494592546864,Australia,90,Gold,,5.245309807591559
224,Eve,72,Female,128846.58984853368,India,26,Gold,67624.1559542901,6.610899459551874
225,David,66,Non-Binary,30341.38610667705,Australia,74,Gold,58998.16154214754,8.267246626126354
226,Bob,52,Male,94017.62944356215,USA,39,Gold,94740.55119895964,8.978816259646806
227,Bob,56,Male,139234.70958942844,UK,3,Bronze,86622.0202207798,8.782827910593664
228,Eve,43,Male,136996.79877332566,Japan,39,Gold,97993.94408849739,2.8817876291235116
229,Alice,78,Female,96256.35721714966,Germany,5,Silver,90562.7028740018,4.214769693636691
230,Bob,47,Male,83957.7986239544,Australia,47,Bronze,84380.58164976847,9.007637128077977
231,Eve,57,Male,104553.78074996574,India,25,Bronze,45485.03845796927,2.095190245401025
232,Eve,29,Female,122726.73258235407,India,21,Bronze,31882.708173651306,4.977821088967286
233,Charlie,71,Non-Binary,24776.205946686445,Germany,23,Gold,47414.65124945752,9.382640399185274
234,Alice,61,Male,135133.43559987796,Japan,81,Bronze,54856.96172638224,9.537128420141082
235,Bob,25,Male,103321.00736338734,Germany,91,Gold,19095.63001520358,8.064419470572957
236,David,54,Non-Binary,77897.82775957978,USA,73,Gold,80822.90413121947,1.7525956405498864
237,Eve,58,Female,30691.416159965283,India,79,Bronze,84463.9627639326,2.5771963534867757
238,Bob,63,Non-Binary,143455.7000954462,Germany,33,Silver,86820.25975519654,2.2707333805997147
239,Eve,38,Male,91074.2417098238,UK,55,Bronze,12649.43359552754,2.884614885754919
240,Eve,30,Female,30394.84647089206,Australia,68,Bronze,44124.027608673554,8.08415812474712
241,David,39,Non-Binary,38210.943426072066,India,40,Gold,3233.9048709376857,5.869931419009803
242,David,67,Female,103963.949330311,India,43,Bronze,40186.643353986474,1.274463419578178
243,Bob,71,Non-Binary,,UK,39,Bronze,35544.16230887561,3.864007263910115
244,Charlie,76,Male,107755.48060725805,UK,6,Gold,49871.20524578112,4.833060824964827
245,Bob,50,Male,91395.8247704052,Australia,61,Silver,52569.57930148495,6.982345469696606
246,Eve,27,Female,95326.2711326465,USA,39,Gold,22066.91935384136,6.799354497604849
247,Alice,70,Non-Binary,107182.79659997625,Germany,79,Silver,,8.328098179558763
248,Charlie,19,Male,45564.48495536976,UK,92,Gold,90953.45777270435,3.717302287056655
249,David,32,Male,69936.58678369875,India,42,Bronze,,8.704058936201967
250,Eve,48,Female,99271.31312386585,Japan,20,Bronze,23840.213046544864,5.142852737830755
251,David,70,Non-Binary,108798.77551202348,USA,94,Gold,32007.094568923174,9.992110349862825
252,Eve,57,Female,47705.33045251196,USA,7,Gold,46810.539846196174,7.193384499224207
253,Charlie,74,Male,,USA,74,Bronze,31433.004940174626,7.29097673625286
254,David,53,Non-Binary,74098.75482548919,UK,8,Bronze,18633.84660908891,6.281359042369489
255,Eve,26,Male,110172.5596876874,USA,65,Bronze,89787.31817404304,2.892399034995292
256,Bob,76,Non-Binary,58049.12821086809,USA,60,Gold,54153.40022004532,1.5852350042786105
257,Alice,71,Male,120209.01788566279,UK,35,Silver,,8.11715262035545
258,Eve,41,Female,54244.47250492372,UK,74,Silver,54854.78441765065,9.282421528512195
259,David,73,Non-Binary,126679.46155781228,Germany,95,Bronze,91101.69637336252,7.81616863934677
260,David,75,Non-Binary,79076.87159442062,Australia,15,Bronze,48014.55671127024,1.4830531395252757
261,Bob,46,Non-Binary,70759.01330879617,India,6,Bronze,41591.39537299785,7.390142818593619
262,Bob,73,Male,33861.60619603892,Australia,79,Silver,54646.357683592345,1.3850041103169861
263,Charlie,39,Non-Binary,80555.99616587172,Japan,52,Bronze,25018.094987524946,8.132382704470055
264,David,59,Female,,UK,81,Silver,59931.68331715441,9.54816549629892
265,Eve,36,Female,25165.882089513303,Japan,41,Gold,78204.87697574586,5.059961117608512
266,Bob,50,Female,119637.33629191175,USA,30,Bronze,93401.3509632484,8.324576983516447
267,Bob,40,Non-Binary,80970.86052451114,Japan,46,Silver,97719.51944301989,2.7233083455981313
268,David,53,Male,125131.9080175442,Australia,10,Gold,4621.447363735297,8.75382524477021
269,Bob,38,Female,27575.889938512195,Japan,83,Bronze,42329.582843236516,6.175590360077875
270,Charlie,20,Non-Binary,122146.07852337553,India,80,Silver,74582.66888259818,4.114058422558358
271,Charlie,22,Non-Binary,117159.05150770087,Australia,26,Silver,16230.55700397967,6.9838306634522205
272,Alice,33,Male,33416.0964594671,Japan,41,Silver,79145.12906703216,2.0684253441351146
273,Bob,73,Female,136651.81614365973,USA,45,Gold,19801.81294331416,5.272462510851363
274,Charlie,37,Non-Binary,31096.79904460714,Germany,33,Gold,52443.25428613455,6.604198777760645
275,David,29,Male,137945.8165545378,UK,82,Gold,5633.107423975051,2.9382651493109657
276,Eve,51,Female,47997.46668629297,Germany,76,Silver,22457.126296585044,5.388748242267416
277,Eve,23,Female,58937.89430698495,India,75,Silver,46555.48434505888,5.328940870596409
278,Bob,30,Male,77798.39528362056,UK,15,Bronze,69190.17463403459,6.0792444391949205
279,Charlie,66,Female,62293.71383699632,Japan,14,Bronze,44016.965873698166,9.595127481920224
280,Alice,28,Male,125076.43356373746,UK,1,Silver,61160.12738563406,8.770040946829807
281,Eve,52,Female,82413.03100606859,Japan,47,Silver,89950.17448743529,3.7140612586466872
282,Alice,57,Male,34791.78287057736,Japan,52,Gold,47811.682264141775,2.5278561297803614
283,Bob,68,Female,62118.21655815686,USA,47,Gold,47386.61612222598,3.7428508387453134
284,Bob,59,Male,107517.16893383396,Germany,76,Gold,38860.832996034405,8.42534654048574
285,David,18,Non-Binary,118596.69921019698,Australia,39,Silver,55100.67725444678,1.711896404131977
286,Charlie,58,Non-Binary,91059.80184911263,India,35,Bronze,84507.06396218431,2.019652719362231
287,David,48,Male,32168.118868244354,USA,97,Gold,94385.81506411807,3.1333504883026073
288,Charlie,26,Male,145783.36462735833,Germany,21,Bronze,15165.04135801657,2.6224667937069515
289,Bob,33,Non-Binary,142977.15732806132,Japan,42,Bronze,7157.764905433596,3.5218690362339506
290,Eve,39,Male,37609.856287124014,UK,69,Silver,77107.06910237893,9.490850235409479
291,Bob,52,Male,60839.830466525156,Germany,83,Gold,95620.251615329,2.9081517161865156
292,Bob,59,Non-Binary,26158.429683660142,Germany,30,Silver,86274.00284074516,2.069944630460314
293,Charlie,75,Non-Binary,49601.48843523171,Australia,53,Gold,87109.58874629081,1.2382281493783531
294,Charlie,39,Male,71487.5516095511,Germany,32,Silver,,2.401782497234848
295,Alice,54,Non-Binary,43160.51092860423,Japan,53,Bronze,27580.63612362965,5.651553954025882
296,Charlie,76,Male,48148.292255952765,Australia,58,Gold,83654.2728181018,1.5619516466870502
297,Bob,32,Male,96857.26400675572,UK,9,Silver,60026.15752567174,6.470025726170634
298,David,69,Female,130345.72997295234,India,56,Gold,26685.06950958886,1.1667833465118163
299,Alice,44,Male,142820.2453641439,Japan,53,Bronze,30671.15441713701,6.661564505069281
300,Bob,29,Male,123769.1872606617,Germany,23,Bronze,32839.51691116356,5.03872919262735
301,Charlie,48,Female,,Japan,93,Gold,22062.39793651845,5.379486260883441
302,Bob,33,Non-Binary,45164.60648887741,Germany,20,Silver,1583.0657098446723,5.328848797533984
303,Eve,52,Non-Binary,129488.48510167334,Japan,58,Gold,63001.4704845678,5.000702115090435
304,Bob,24,Female,95692.2598461571,India,49,Gold,23785.86017798383,1.2105133312220913
305,Bob,26,Female,45107.12686278184,UK,83,Gold,13531.55013698311,2.8020796156973438
306,Bob,38,Male,79267.06637641582,USA,88,Silver,94912.01562331029,4.345393219575481
